PaCo,experiment,sorted_edges,delta_time,max_path_length
16.868859,max_path_length,1086404,1.795941091954023,1
18.92359,max_path_length,1086404,1.795941091954023,2
20.686673999999996,max_path_length,1086404,1.795941091954023,3
22.542883999999994,max_path_length,1086404,1.795941091954023,4
26.85028600000001,max_path_length,1086404,1.795941091954023,5
27.117011000000005,max_path_length,1086404,1.795941091954023,6
25.91589300000001,max_path_length,1086404,1.795941091954023,7
23.589229999999986,max_path_length,1086404,1.795941091954023,8
24.40056800000002,max_path_length,1086404,1.795941091954023,9
29.855738000000002,max_path_length,1086404,1.795941091954023,10
23.892527,max_path_length,1086404,1.795941091954023,11
30.090303999999946,max_path_length,1086404,1.795941091954023,12
30.37831699999998,max_path_length,1086404,1.795941091954023,13
29.996344999999963,max_path_length,1086404,1.795941091954023,14
2.2523310000000265,sorted_edges,100000,1.795941091954023,4
4.414045000000044,sorted_edges,200000,1.795941091954023,4
7.208758999999986,sorted_edges,300000,1.795941091954023,4
10.084206999999992,sorted_edges,400000,1.795941091954023,4
9.880477999999982,sorted_edges,500000,1.795941091954023,4
13.434915999999987,sorted_edges,600000,1.795941091954023,4
18.898077999999998,sorted_edges,700000,1.795941091954023,4
19.31337400000001,sorted_edges,800000,1.795941091954023,4
21.914840999999967,sorted_edges,900000,1.795941091954023,4
23.866926999999976,sorted_edges,1000000,1.795941091954023,4
24.406784000000016,sorted_edges,1086404,1.795941091954023,4
10.441361000000029,delta_time,1086404,0.5986470306513411,4
14.663524000000052,delta_time,1086404,1.1972940613026821,4
22.230521000000067,delta_time,1086404,1.795941091954023,4
28.347740000000044,delta_time,1086404,2.3945881226053642,4
31.624658000000068,delta_time,1086404,2.993235153256705,4
36.55680200000006,delta_time,1086404,3.591882183908046,4
41.64427899999998,delta_time,1086404,4.190529214559387,4
50.53502000000003,delta_time,1086404,4.7891762452107285,4
61.59328000000005,delta_time,1086404,5.387823275862069,4
73.26035999999999,delta_time,1086404,5.98647030651341,4
82.18451199999993,delta_time,1086404,6.585117337164752,4
89.35403100000008,delta_time,1086404,7.183764367816092,4
