experiment,PaCo2,sorted_edges,delta_time,max_path_length
delta_time,40.660081182,2172808,0.5986470306513411,4
delta_time,1919.391370068,2172808,1.1972940613026821,4
delta_time,1772.753376105,2172808,1.795941091954023,4
delta_time,3364.031144828,2172808,2.3945881226053642,4
delta_time,3617.5876653509995,2172808,2.993235153256705,4
delta_time,5835.455609148001,2172808,3.591882183908046,4
delta_time,6065.358974211998,2172808,4.190529214559387,4
delta_time,8118.301116612001,2172808,4.7891762452107285,4
delta_time,8873.427346835997,2172808,5.387823275862069,4
delta_time,11458.273705374006,2172808,5.98647030651341,4
delta_time,12384.304599912,2172808,6.585117337164752,4
delta_time,11837.645761456006,2172808,7.183764367816092,4
